;bishop;king_endgame;king_middlegame;knight;pawn;queen;rook
0;-20;-50;20;-50;0;-20;0
1;-10;-30;20;-40;5;-10;-5
2;-10;-30;-10;-30;5;-10;-5
3;-10;-30;-20;-30;0;0;-5
4;-10;-30;-30;-30;5;-5;-5
5;-10;-30;-30;-30;10;-10;-5
6;-10;-30;-30;-40;50;-10;5
7;-20;-50;-30;-50;0;-20;0
8;-10;-30;30;-40;0;-10;0
9;5;-30;20;-20;10;0;0
10;10;-10;-20;5;-5;5;0
11;0;-10;-30;0;0;0;0
12;5;-10;-40;5;5;0;0
13;0;-10;-40;0;10;0;0
14;0;-20;-40;-20;50;0;10
15;-10;-40;-40;-40;0;-10;0
16;-10;-30;10;-30;0;-10;0
17;0;0;0;0;10;5;0
18;10;20;-20;10;-10;5;0
19;10;30;-30;15;0;5;0
20;5;30;-40;15;10;5;0
21;5;20;-40;10;20;5;0
22;0;-10;-40;0;50;0;10
23;-10;-30;-40;-30;0;-10;0
24;-10;-30;0;-30;0;-5;5
25;0;0;0;5;-20;0;0
26;10;30;-20;15;0;5;0
27;10;40;-40;20;20;5;0
28;10;40;-50;20;25;5;0
29;10;30;-50;15;30;5;0
30;0;0;-50;0;50;0;10
31;-10;-20;-50;-30;0;-5;0
32;-10;-30;0;-30;0;-5;5
33;0;0;0;5;-20;0;0
34;10;30;-20;15;0;5;0
35;10;40;-40;20;20;5;0
36;10;40;-50;20;25;5;0
37;10;30;-50;15;30;5;0
38;0;0;-50;0;50;0;10
39;-10;-20;-50;-30;0;-5;0
40;-10;-30;10;-30;0;-10;0
41;0;0;0;0;10;0;0
42;10;20;-20;10;-10;5;0
43;10;30;-30;15;0;5;0
44;5;30;-40;15;10;5;0
45;5;20;-40;10;20;5;0
46;0;-10;-40;0;50;0;10
47;-10;-30;-40;-30;0;-10;0
48;-10;-30;30;-40;0;-10;0
49;5;-30;20;-20;10;0;0
50;10;-10;-20;5;-5;0;0
51;0;-10;-30;0;0;0;0
52;5;-10;-40;5;5;0;0
53;0;-10;-40;0;10;0;0
54;0;-20;-40;-20;50;0;10
55;-10;-40;-40;-40;0;-10;0
56;-20;-50;20;-50;0;-20;0
57;-10;-30;20;-40;5;-10;-5
58;-10;-30;-10;-30;5;-10;-5
59;-10;-30;-20;-30;0;-5;-5
60;-10;-30;-30;-30;5;-5;-5
61;-10;-30;-30;-30;10;-10;-5
62;-10;-30;-30;-40;50;-10;5
63;-20;-50;-30;-50;0;-20;0
